Date,0,ZHVI_std
2009-01-31,1.363993163639587,0.7800307322974592
2009-02-28,1.3808166105993793,0.7724566322907762
2009-03-31,1.397816323958836,0.7686695822874346
2009-04-30,1.4149796107133779,0.7573084322774101
2009-05-31,1.4322949013001833,0.7383731822607025
2009-06-30,1.4497520743509558,0.7156508822406533
2009-07-31,1.4673421402230689,0.6815674322105797
2009-08-31,1.4850568707542833,0.6436969321771644
2009-09-30,1.5028886430785449,0.6020393821404076
2009-10-31,1.520830403539634,0.5528077320969679
2009-11-30,1.5388756279328972,0.4922149320435036
2009-12-31,1.5570182577866412,0.488427882040162
2010-01-31,1.5752526404256717,0.5376595320836018
2010-02-28,1.5935734866036229,0.5414465820869433
2010-03-31,1.6119758400866162,0.4694926320234544
2010-04-30,1.6304550513532268,0.4278350819866977
