,Metro Area,CI Area,Normalised CI
22131,42100,309852.87765261193,5.978648577796023
14980,42100,309852.87765261193,5.978648577796023
35041,42100,309852.87765261193,5.978648577796023
3934,42100,309852.87765261193,5.978648577796023
53874,42100,309852.87765261193,5.978648577796023
43710,42100,309852.87765261193,5.978648577796023
44436,42100,309852.87765261193,5.978648577796023
14265,42100,309852.87765261193,5.978648577796023
17840,42100,309852.87765261193,5.978648577796023
7324,42100,309852.87765261193,5.978648577796023
76380,42100,309852.87765261193,5.978648577796023
38641,42100,309852.87765261193,5.978648577796023
9361,42100,309852.87765261193,5.978648577796023
56052,42100,309852.87765261193,5.978648577796023
4612,42100,309852.87765261193,5.978648577796023
23563,42100,309852.87765261193,5.978648577796023
74202,42100,309852.87765261193,5.978648577796023
58230,42100,309852.87765261193,5.978648577796023
37201,42100,309852.87765261193,5.978648577796023
40088,42100,309852.87765261193,5.978648577796023
66942,42100,309852.87765261193,5.978648577796023
48066,42100,309852.87765261193,5.978648577796023
62586,42100,309852.87765261193,5.978648577796023
42260,42100,309852.87765261193,5.978648577796023
19985,42100,309852.87765261193,5.978648577796023
18555,42100,309852.87765261193,5.978648577796023
27862,42100,309852.87765261193,5.978648577796023
65490,42100,309852.87765261193,5.978648577796023
13550,42100,309852.87765261193,5.978648577796023
42984,42100,309852.87765261193,5.978648577796023
55326,42100,309852.87765261193,5.978648577796023
54600,42100,309852.87765261193,5.978648577796023
8680,42100,309852.87765261193,5.978648577796023
74928,42100,309852.87765261193,5.978648577796023
67668,42100,309852.87765261193,5.978648577796023
28579,42100,309852.87765261193,5.978648577796023
68394,42100,309852.87765261193,5.978648577796023
3256,42100,309852.87765261193,5.978648577796023
72750,42100,309852.87765261193,5.978648577796023
37921,42100,309852.87765261193,5.978648577796023
29296,42100,309852.87765261193,5.978648577796023
8002,42100,309852.87765261193,5.978648577796023
39364,42100,309852.87765261193,5.978648577796023
34321,42100,309852.87765261193,5.978648577796023
53148,42100,309852.87765261193,5.978648577796023
77106,42100,309852.87765261193,5.978648577796023
544,42100,309852.87765261193,5.978648577796023
47340,42100,309852.87765261193,5.978648577796023
17125,42100,309852.87765261193,5.978648577796023
45162,42100,309852.87765261193,5.978648577796023
59682,42100,309852.87765261193,5.978648577796023
33603,42100,309852.87765261193,5.978648577796023
49518,42100,309852.87765261193,5.978648577796023
16410,42100,309852.87765261193,5.978648577796023
11448,42100,309852.87765261193,5.978648577796023
69846,42100,309852.87765261193,5.978648577796023
32167,42100,309852.87765261193,5.978648577796023
71298,42100,309852.87765261193,5.978648577796023
75654,42100,309852.87765261193,5.978648577796023
40812,42100,309852.87765261193,5.978648577796023
64764,42100,309852.87765261193,5.978648577796023
32885,42100,309852.87765261193,5.978648577796023
24995,42100,309852.87765261193,5.978648577796023
1900,42100,309852.87765261193,5.978648577796023
45888,42100,309852.87765261193,5.978648577796023
20700,42100,309852.87765261193,5.978648577796023
58956,42100,309852.87765261193,5.978648577796023
69120,42100,309852.87765261193,5.978648577796023
25711,42100,309852.87765261193,5.978648577796023
70572,42100,309852.87765261193,5.978648577796023
61134,42100,309852.87765261193,5.978648577796023
30731,42100,309852.87765261193,5.978648577796023
31449,42100,309852.87765261193,5.978648577796023
60408,42100,309852.87765261193,5.978648577796023
12840,42100,309852.87765261193,5.978648577796023
2578,42100,309852.87765261193,5.978648577796023
35761,42100,309852.87765261193,5.978648577796023
5968,42100,309852.87765261193,5.978648577796023
6646,42100,309852.87765261193,5.978648577796023
66216,42100,309852.87765261193,5.978648577796023
50244,42100,309852.87765261193,5.978648577796023
1222,42100,309852.87765261193,5.978648577796023
56778,42100,309852.87765261193,5.978648577796023
63312,42100,309852.87765261193,5.978648577796023
57504,42100,309852.87765261193,5.978648577796023
61860,42100,309852.87765261193,5.978648577796023
36481,42100,309852.87765261193,5.978648577796023
51696,42100,309852.87765261193,5.978648577796023
57549,44460,302449.75240985036,5.804115393561939
18600,44460,302449.75240985036,5.804115393561939
56097,44460,302449.75240985036,5.804115393561939
37966,44460,302449.75240985036,5.804115393561939
42305,44460,302449.75240985036,5.804115393561939
2620,44460,302449.75240985036,5.804115393561939
46659,44460,302449.75240985036,5.804115393561939
15740,44460,302449.75240985036,5.804115393561939
20030,44460,302449.75240985036,5.804115393561939
4654,44460,302449.75240985036,5.804115393561939
25040,44460,302449.75240985036,5.804115393561939
8722,44460,302449.75240985036,5.804115393561939
22176,44460,302449.75240985036,5.804115393561939
55371,44460,302449.75240985036,5.804115393561939
22892,44460,302449.75240985036,5.804115393561939
35086,44460,302449.75240985036,5.804115393561939
586,44460,302449.75240985036,5.804115393561939
14310,44460,302449.75240985036,5.804115393561939
10099,44460,302449.75240985036,5.804115393561939
37246,44460,302449.75240985036,5.804115393561939
40133,44460,302449.75240985036,5.804115393561939
62631,44460,302449.75240985036,5.804115393561939
32212,44460,302449.75240985036,5.804115393561939
47385,44460,302449.75240985036,5.804115393561939
50289,44460,302449.75240985036,5.804115393561939
69165,44460,302449.75240985036,5.804115393561939
48111,44460,302449.75240985036,5.804115393561939
31494,44460,302449.75240985036,5.804115393561939
17170,44460,302449.75240985036,5.804115393561939
45933,44460,302449.75240985036,5.804115393561939
10795,44460,302449.75240985036,5.804115393561939
52467,44460,302449.75240985036,5.804115393561939
60453,44460,302449.75240985036,5.804115393561939
36526,44460,302449.75240985036,5.804115393561939
