,CBSA,Latitude,Longitude
1531,49340,42.317121,-72.12248000000001
1532,15764,42.321917,-71.64692
1532,49340,42.321917,-71.64692
1534,49340,42.140741,-71.64376
1535,49340,42.267274,-72.07823
1536,49340,42.231444,-71.70523
1537,49340,42.170846000000004,-71.88989000000001
1540,49340,42.117527,-71.8657
1541,49340,42.451569,-71.882
1542,49340,42.194793,-71.90651
1543,49340,42.380877000000005,-71.96427
1545,49340,42.286643,-71.72502
1550,49340,42.070827,-72.03533
1560,49340,42.177462,-71.69382
1561,49340,42.443539,-71.686137
1562,49340,42.247212,-71.99226999999999
1564,49340,42.436875,-71.77333
1566,49340,42.104581,-72.08584
1568,49340,42.17382,-71.60970999999999
1569,49340,42.064978,-71.62992
1570,49340,42.047728,-71.86108
1571,49340,42.049864,-71.9173
1581,49340,42.269845000000004,-71.61408
1583,49340,42.359842,-71.78699999999999
1585,49340,42.242965000000005,-72.16734
1588,49340,42.114195,-71.67225
1590,49340,42.131028,-71.75121
1601,49340,42.265275,-71.87941500000001
1602,49340,42.272359,-71.84482
1603,49340,42.240526,-71.83776
1604,49340,42.255393,-71.77459
1605,49340,42.286543,-71.78846
1606,49340,42.311341999999996,-71.79531
1607,49340,42.229543,-71.79500999999999
1608,49340,42.261343,-71.80173
1609,49340,42.271743,-71.81348
1610,49340,42.248492999999996,-71.80793
1611,49340,42.238448999999996,-71.87139
1612,49340,42.307590999999995,-71.91929
1613,49340,42.293316,-71.801971
1701,15764,42.318695,-71.42344
1702,15764,42.283995000000004,-71.42161
1718,15764,42.519739,-71.42721
1719,15764,42.486259000000004,-71.51244
1720,15764,42.477142,-71.4422
1721,15764,42.257956,-71.45886
1730,15764,42.496679,-71.27504
1731,15764,42.459084999999995,-71.27556
1740,49340,42.437086,-71.61265999999999
1741,15764,42.5286,-71.35084
1742,15764,42.457201,-71.37478
1745,49340,42.295544,-71.50468000000001
1746,15764,42.196065000000004,-71.43796999999999
1747,49340,42.125536,-71.53662
1748,15764,42.220447,-71.53418
1749,15764,42.389813000000004,-71.55790999999999
1749,49340,42.389813000000004,-71.55790999999999
1752,15764,42.350909,-71.54753000000001
1754,15764,42.430781,-71.45594
1756,49340,42.092006,-71.54474
1757,49340,42.149176000000004,-71.52149
1760,15764,42.290763,-71.35368000000001
1770,15764,42.231025,-71.37201999999999
1772,49340,42.297643,-71.53369
1773,15764,42.425537,-71.30315999999999
1775,15764,42.423882,-71.51086
1776,15764,42.38532,-71.42989
1778,15764,42.345583000000005,-71.35643
1801,15764,42.484545000000004,-71.15205999999999
1803,15764,42.506362,-71.20008
1810,37764,42.646941999999996,-71.1513
1810,15764,42.646941999999996,-71.1513
1812,37764,42.647191,-71.184202
1821,15764,42.54805,-71.25054
1824,15764,42.595490999999996,-71.3544
1826,15764,42.677772,-71.316
1826,37764,42.677772,-71.316
1827,15764,42.671356,-71.50291999999999
1830,37764,42.78519,-71.07011
1831,37764,42.771095,-71.122054
1832,37764,42.781357,-71.11023
1833,37764,42.729437,-70.98291
1834,37764,42.750690999999996,-71.02486999999999
1835,37764,42.757767,-71.08518000000001
1840,37764,42.706941,-71.16181
1841,37764,42.71159,-71.16667
1842,37764,42.635443,-70.87912299999999
1843,37764,42.691091,-71.16078
1844,37764,42.73004,-71.17935
1845,37764,42.683840999999994,-71.11171
1850,15764,42.655791,-71.30504
1851,15764,42.630915,-71.33238
1852,15764,42.634112,-71.29849
1854,15764,42.649758,-71.33348000000001
1860,37764,42.834246,-71.00206999999999
1862,15764,42.573592,-71.2911
1863,15764,42.634199,-71.39322
1864,15764,42.583436,-71.0982
1867,15764,42.52585,-71.10993
1876,15764,42.601684000000006,-71.22071
1879,15764,42.671589000000004,-71.41694
1880,15764,42.501345,-71.07132
1886,15764,42.592086,-71.43754
1887,15764,42.558576,-71.17031
1889,15764,42.571633,-71.109646
1890,15764,42.451945,-71.14276
1901,37764,42.461246,-70.94674300000001
1902,37764,42.469946,-70.94113
1904,37764,42.490421000000005,-70.96579
1905,37764,42.464878999999996,-70.97411
1906,15764,42.462796000000004,-71.0098
1906,37764,42.462796000000004,-71.0098
1906,14484,42.462796000000004,-71.0098
1907,37764,42.474409,-70.90588000000001
1908,37764,42.427096,-70.92809
1910,37764,42.454796,-70.974694
1913,37764,42.854423,-70.93547
1915,37764,42.560995,-70.8757
1921,37764,42.677869,-71.00844000000001
1922,37764,42.760870000000004,-70.92648
1923,37764,42.569756,-70.94322
1929,37764,42.631753,-70.77925
1930,37764,42.624015,-70.67551999999999
1938,37764,42.682965,-70.84007
1940,37764,42.527895,-71.02834
1944,37764,42.580033,-70.76462
1945,37764,42.497146,-70.86323
1949,37764,42.602278000000005,-71.01356
1950,37764,42.809891,-70.86363
1951,37764,42.780141,-70.86865999999999
1952,37764,42.85048,-70.86153
1960,37764,42.534045,-70.96146
1965,37764,42.558113,-70.825743
1966,37764,42.659936,-70.61726999999999
1969,37764,42.716708000000004,-70.90899
1970,37764,42.516845,-70.8985
1982,37764,42.616642999999996,-70.86513000000001
1983,37764,42.642471,-70.94424000000001
1984,37764,42.600518,-70.87618
1985,37764,42.790735999999995,-70.97286
2018,14484,41.970473999999996,-70.701357
2019,14484,42.075122,-71.47953000000001
2020,14484,42.081825,-70.64386800000001
2021,14484,42.166776,-71.1343
2025,14484,42.241908,-70.81223
2026,14484,42.244609000000004,-71.16553
2027,14484,42.180048,-71.08923
2030,14484,42.23888,-71.28241
2030,15764,42.23888,-71.28241
2032,14484,42.153912,-71.21361999999999
2035,14484,42.061427,-71.24231999999999
2038,14484,42.089104,-71.4069
2041,14484,42.069642,-70.649075
2043,14484,42.225708000000004,-70.88764
2045,14484,42.286347,-70.87663
2047,14484,42.142835999999996,-70.69353000000001
2048,39300,42.019982,-71.2191
2050,14484,42.109763,-70.69171999999999
2051,14484,42.151202000000005,-70.734146
2052,14484,42.185571,-71.30476
2053,14484,42.151526000000004,-71.42315
2054,15764,42.166398,-71.36178000000001
2054,14484,42.166398,-71.36178000000001
2056,14484,42.111836,-71.32855
2061,14484,42.152429999999995,-70.8205
2062,14484,42.185974,-71.20166
2065,14484,42.097219,-70.651567
2066,14484,42.205038,-70.7513
2067,14484,42.113749,-71.17923
2071,14484,42.101406,-71.27239
2072,14484,42.125432,-71.10627
2081,14484,42.145237,-71.25375
2090,14484,42.212949,-71.20735
2093,14484,42.0597,-71.34617
2108,14484,42.357903,-71.06408
2109,14484,42.361477,-71.05417
2110,14484,42.356532,-71.05365
2111,14484,42.349838,-71.06101
2112,14484,42.338947,-70.919635
2113,14484,42.365028,-71.05636
2114,14484,42.361792,-71.06774
2115,14484,42.34308,-71.09268
2116,14484,42.349622,-71.07372
2118,14484,42.338724,-71.07276
2119,14484,42.324511,-71.08455
2120,14484,42.332099,-71.09651
2121,14484,42.307448,-71.08126999999999
2122,14484,42.296298,-71.05454
2124,14484,42.28713,-71.07155999999999
2125,14484,42.316852000000004,-71.05811
2126,14484,42.272098,-71.09425999999999
2127,14484,42.334990000000005,-71.04562
2128,14484,42.378296999999996,-71.0255
2129,14484,42.378619,-71.06495
2130,14484,42.309998,-71.11171
2131,14484,42.284678,-71.13051999999999
2132,14484,42.279432,-71.1598
2134,14484,42.355146999999995,-71.13164
2135,14484,42.348418,-71.15349
2136,14484,42.252198,-71.12593000000001
2138,15764,42.379146,-71.12803000000001
2139,15764,42.364346999999995,-71.10431
2140,15764,42.393327,-71.12836999999999
2141,15764,42.370519,-71.08443
2142,15764,42.362297,-71.08412
2143,15764,42.381929,-71.09908
2144,15764,42.399546,-71.12165
2145,15764,42.390846,-71.09225
2148,14484,42.428549,-71.06059
2148,15764,42.428549,-71.06059
2149,15764,42.409915999999996,-71.0522
2150,14484,42.396382,-71.03352
2150,15764,42.396382,-71.03352
2151,15764,42.416247,-71.00525
2151,37764,42.416247,-71.00525
2151,14484,42.416247,-71.00525
2152,14484,42.373047,-70.97803
2155,15764,42.419846,-71.10942
2163,14484,42.367946,-71.12056
2169,14484,42.250739,-70.99593
2170,14484,42.267049,-71.01834000000001
2171,14484,42.284498,-71.02316
2176,15764,42.459045,-71.06233
2176,37764,42.459045,-71.06233
2180,15764,42.480145,-71.09835
2184,14484,42.209555,-70.99968
2186,14484,42.253074,-71.07496
2188,14484,42.212866,-70.95872
2189,14484,42.2112,-70.93111
2190,14484,42.1711,-70.94596999999999
2191,14484,42.242748999999996,-70.94434
2199,14484,42.34713,-71.08234
2203,14484,42.361484999999995,-71.060364
2205,14484,42.350334000000004,-71.053877
2210,14484,42.347974,-71.04463
2215,14484,42.346996999999995,-71.10215
2222,14484,42.367796999999996,-71.06282
2228,14484,,
2301,14484,42.0794,-71.03441
2302,14484,42.08715,-71.00222
2322,14484,42.121932,-71.04522
2324,14484,41.979501,-70.97215
2324,39300,41.979501,-70.97215
2325,14484,41.98725,-70.972786
2327,14484,42.040708,-70.82724499999999
2330,14484,41.873697,-70.7656
2332,14484,42.031371,-70.70105
2333,14484,42.029083,-70.95227
2334,39300,42.023528000000006,-71.132397
2337,14484,42.022225,-70.931588
2338,14484,41.999851,-70.85395
2339,14484,42.12867,-70.85913000000001
2341,14484,42.059434,-70.86205
2343,14484,42.148351,-71.01037
2345,14484,41.888197999999996,-70.581029
2346,14484,41.889582,-70.89406
2347,39300,41.835094,-70.95973000000001
2347,14484,41.835094,-70.95973000000001
2350,14484,42.018525,-70.847486
2351,14484,42.119534,-70.94787
2355,14484,41.916918,-70.801331
2356,39300,42.058507,-71.11309
2357,39300,42.064499,-71.087091
2358,14484,41.805219,-70.62642
2359,14484,42.065554,-70.80426
2360,12700,41.894676000000004,-70.61999
2360,14484,41.894676000000004,-70.61999
2364,14484,41.993102,-70.73827
2366,14484,41.854063000000004,-70.66088
2367,14484,41.968987,-70.80452
2368,14484,42.173417,-71.04912
2370,14484,42.129513,-70.91189
2375,14484,42.029749,-71.10191
2375,39300,42.029749,-71.10191
2379,14484,42.02195,-71.01878
2381,14484,41.931602000000005,-70.561051
2382,14484,42.08235,-70.93734
2420,15764,42.452895,-71.21619
2421,15764,42.439295,-71.23553000000001
2445,14484,42.324397,-71.13933
2446,14484,42.344747,-71.12141
2451,15764,42.393029,-71.24771
2452,15764,42.392496,-71.22153
2453,15764,42.370446,-71.23563
2454,15764,42.356719,-71.250479
2458,14484,42.354727000000004,-71.18809
2458,15764,42.354727000000004,-71.18809
2459,15764,42.321197,-71.193
2460,15764,42.352996000000005,-71.20907
2461,15764,42.31883,-71.20822
2462,15764,42.331646,-71.25761
2464,15764,42.311997,-71.22046
2465,15764,42.351046000000004,-71.22677
2466,15764,42.345833,-71.24735
2467,14484,42.321996999999996,-71.17314
2467,15764,42.321996999999996,-71.17314
2468,15764,42.325247,-71.2319
2472,15764,42.371296,-71.18196
2474,15764,42.419496,-71.15635
2476,15764,42.416745,-71.17761
2478,15764,42.391546000000005,-71.17471
2481,14484,42.313328999999996,-71.27649
2482,14484,42.300096,-71.30336
2492,14484,42.278247,-71.23388
2493,15764,42.358663,-71.28831
2494,14484,42.29813,-71.23154
2532,12700,41.751841,-70.59764
2532,14484,41.751841,-70.59764
2534,12700,41.665659999999995,-70.616
2535,99999,41.345578,-70.75145
2536,12700,41.578992,-70.5614
2537,12700,41.733837,-70.43754
2538,14484,41.782915,-70.64881
2539,99999,41.380479,-70.52453
2540,12700,41.56105,-70.61968
2541,12700,41.799312,-70.308662
2542,12700,41.665605,-70.52456
2543,12700,41.526790999999996,-70.66505
2552,99999,41.379836,-70.64309200000001
2553,12700,41.673359999999995,-70.608047
2554,99999,41.276758,-70.09089
2556,12700,41.6403,-70.63036
2557,99999,41.417376000000004,-70.56003199999999
2558,14484,41.746424,-70.65956
2559,12700,41.694132,-70.61706
2561,12700,41.770254,-70.533664
2562,12700,41.793263,-70.519584
2563,12700,41.735645,-70.48866
2564,99999,41.273949,-70.01554499999999
2568,99999,41.451263,-70.60871999999999
2571,14484,41.751554,-70.71059
2574,12700,41.603946,-70.638189
2575,99999,41.378807,-70.66376
2576,14484,41.776042,-70.75783
2584,99999,41.277794,-70.046019
2601,12700,41.654740999999994,-70.2895
2630,12700,41.700327,-70.29568
2631,12700,41.746646999999996,-70.07773
2632,12700,41.658718,-70.34658
2633,12700,41.686534,-69.97746
2635,12700,41.625037,-70.44317
2637,12700,41.701438,-70.277212
2638,12700,41.736684000000004,-70.19183000000001
2639,12700,41.661115,-70.13348
2641,12700,41.734713,-70.20467
2642,12700,41.844087,-69.98921
2643,12700,41.784308,-69.962034
2644,12700,41.683462,-70.51210999999999
2645,12700,41.707332,-70.05679
2646,12700,41.669219,-70.07419
2647,12700,41.63275,-70.30435
2648,12700,41.667689,-70.4168
2649,12700,41.613743,-70.48754
