ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00767,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00769,17620,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00771,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00772,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00773,21940,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00775,99999,0.00000000000,0.00000000000,1.00000000000,1.00000000000
00777,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00778,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00780,38660,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00782,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
00783,41980,1.00000000000,1.00000000000,1.00000000000,1.00000000000
