CBSACode,democrat,green,republican,total,%democrat,%republican
16580,286646.0,4422.0,309212.0,595858.0,0.4810642804158038,0.5189357195841963
16620,1171313.0,8234.0,1710318.0,2881631.0,0.4064757076808238,0.5935242923191761
16660,1233030.0,12188.0,1141095.0,2374125.0,0.5193618701626915,0.48063812983730847
16700,682508.0,4207.0,816132.0,1498640.0,0.4554182458762611,0.5445817541237389
16740,5445623.0,36323.0,6520386.0,11966009.0,0.45509099984798607,0.5449090001520139
16820,860760.0,8429.0,1215501.0,2076261.0,0.4145721563907428,0.5854278436092573
16860,3598859.0,24283.0,4167534.0,7766393.0,0.46338873142268233,0.5366112685773177
16940,67273.0,608.0,121048.0,188321.0,0.3572251634177813,0.6427748365822187
16980,13876777.0,85830.0,8840128.0,22716905.0,0.6108568486772296,0.38914315132277044
17020,213299.0,5732.0,253854.0,467153.0,0.45659345011163366,0.5434065498883663
17060,65019.0,421.0,81354.0,146373.0,0.44420077473304503,0.555799225266955
17140,5514153.0,47631.0,7768804.0,13282957.0,0.41512992927704273,0.5848700707229573
17200,4868323.0,42582.0,4910870.0,9779193.0,0.4978246159984776,0.5021753840015224
17220,414682.0,3343.0,799892.0,1214574.0,0.34142176598544016,0.6585782340145598
17260,34170.0,48.0,15393.0,49563.0,0.6894255795654016,0.3105744204345984
17300,4261448.0,30273.0,3630122.0,7891570.0,0.5400000253434994,0.45999997465650055
17340,2052629.0,14023.0,1808032.0,3860661.0,0.5316781245491381,0.4683218754508619
17380,46958.0,64.0,23751.0,70709.0,0.6641021652123492,0.3358978347876508
17420,1388513.0,9016.0,1660939.0,3049452.0,0.45533197440064643,0.5446680255993536
17460,4828545.0,37698.0,3528166.0,8356711.0,0.5778044735542488,0.4221955264457512
17500,21564.0,104.0,27834.0,49398.0,0.4365358921413822,0.5634641078586178
17540,363230.0,3393.0,450910.0,814140.0,0.4461517675092736,0.5538482324907265
17580,42290.0,750.0,81174.0,123464.0,0.3425289963066157,0.6574710036933843
17660,88307.0,1083.0,186552.0,274859.0,0.32128109321506665,0.6787189067849334
17700,4136802.0,29519.0,3378717.0,7515519.0,0.5504346406415844,0.4495653593584156
17740,34082.0,279.0,50882.0,84964.0,0.40113459818275976,0.5988654018172402
17780,159409.0,1624.0,309348.0,468757.0,0.3400674549926721,0.6599325450073279
17820,1048736.0,10385.0,1146597.0,2195333.0,0.4777115817964746,0.5222884182035253
17860,424265.0,3590.0,597977.0,1022242.0,0.4150338178239595,0.5849661821760405
17900,2424445.0,22264.0,2504086.0,4928531.0,0.4919204119848287,0.5080795880151713
17980,4967555.0,35484.0,5059192.0,10026747.0,0.4954303723829872,0.5045696276170127
18020,52239.0,181.0,91083.0,143322.0,0.3644869594340018,0.6355130405659982
18060,152043.0,378.0,171270.0,323313.0,0.47026565588145236,0.5297343441185477
18100,115213.0,983.0,184137.0,299350.0,0.3848772340070152,0.6151227659929848
18140,7435517.0,61667.0,7757066.0,15192583.0,0.48941756645331475,0.5105824335466852
18180,200629.0,2343.0,172296.0,372925.0,0.5379875310048937,0.46201246899510623
18220,681870.0,5076.0,885825.0,1567695.0,0.4349506759924603,0.5650493240075397
18260,1655000.0,17397.0,2267712.0,3922712.0,0.42190199025572106,0.5780980097442789
18300,104042.0,1873.0,118133.0,222175.0,0.46828851130865307,0.5317114886913469
18380,13714.0,1.0,20305.0,34019.0,0.40312766395249716,0.5968723360475029
18420,20809.0,101.0,49594.0,70403.0,0.29556979106004005,0.7044302089399599
18460,12964.0,36.0,54520.0,67484.0,0.1921047952107166,0.8078952047892833
18500,96708.0,1288.0,163203.0,259911.0,0.372081212415019,0.627918787584981
18580,286307.0,1935.0,356122.0,642429.0,0.4456632561730557,0.5543367438269443
18620,24377.0,105.0,52724.0,77101.0,0.316169699485091,0.683830300514909
18660,50642.0,943.0,48379.0,99021.0,0.5114268690479797,0.48857313095202026
18700,479501.0,5716.0,705476.0,1184977.0,0.40465004806000454,0.5953499519399955
18740,31114.0,295.0,45370.0,76484.0,0.4068040374457403,0.5931959625542597
18780,6364.0,169.0,22222.0,28586.0,0.22262646050514237,0.7773735394948577
18820,4136802.0,29519.0,3378717.0,7515519.0,0.5504346406415844,0.4495653593584156
18860,18608.0,485.0,24597.0,43205.0,0.4306908922578405,0.5693091077421595
18880,178245.0,1288.0,551154.0,729399.0,0.2443724216786697,0.7556275783213303
18900,1186273.0,11681.0,1081973.0,2268246.0,0.522991333391528,0.4770086666084719
18980,32517.0,282.0,136859.0,169376.0,0.19198115435480823,0.8080188456451918
19000,1327209.0,14270.0,1719649.0,3046858.0,0.4355992304203215,0.5644007695796784
19060,104489.0,1680.0,200910.0,305399.0,0.3421392997357555,0.6578607002642445
19100,5418649.0,41523.0,7341160.0,12759809.0,0.42466536920732906,0.575334630792671
19140,68955.0,290.0,166194.0,235149.0,0.2932396055267086,0.7067603944732914
19180,103927.0,912.0,171153.0,275080.0,0.37780645630362075,0.6221935436963792
19220,517863.0,5703.0,874952.0,1392815.0,0.37181032656885515,0.6281896734311448
