metro_name,cbsa_id,ratio_of_public_transport,median_income,pctg_below_poverty_line,enrolled_in_school,sqmi,hse_units,avg_fam_sz,pop_sqmi,pct_dem,pct_repub,latitude,longitude,au3
"Alexandria, MN",10820.0,-0.42320723397013554,-0.09029413941250222,0.0,0.12199550005479935,-0.4673011437025114,-0.26103039430890934,0.3152892277260209,-0.3600521875265005,0.15118877400774422,-0.15118877400774575,1.4374365461818646,-0.23183672104865627,0.6746576144257926
"Allentown-Bethlehem-Easton, PA-NJ",10900.0,0.3829722343598701,0.3762012006791094,-0.8569059292067958,-0.1801234920020637,-0.1575149411426383,0.8620012041077757,0.5049304064636472,2.3352065085383424,0.25274557253770175,-0.25274557253770275,0.5216175098357986,1.2708450001926308,0.5689773337297297
"Alma, MI",10940.0,-0.5420060076326464,-0.5137652330865534,0.0,-0.263375542868491,-0.5281634290108392,-0.2734560623458131,0.42247772005598383,-0.23074362619505784,0.20883378342640788,-0.2088337834264094,0.95636704574878,0.579375549875996,0.5216085625131155
"Altoona, PA",11020.0,-0.3626967510241326,-0.8628554261743137,-0.7619754348338122,-0.26981109772488165,-0.5464249852724108,-0.13429624619611435,0.3894966454929184,0.6568558812158323,-0.8694580388497775,0.869458038849777,0.4330933613253937,0.991619748854122,1.3627248113989399
"Altus, OK",11060.0,-0.5485892815866211,1.025211019520275,0.0,-0.13672251658307732,-0.4327546918840792,-0.28830693087449616,0.49668513782288093,-0.4526435030477804,0.08806805203664651,-0.08806805203664805,-0.6158309958243383,-0.5198118043921545,0.1210505895452977
"Amarillo, TX",11100.0,-0.22251378749445513,-0.7904538492730921,-0.12910547234725708,-0.25914324903738467,1.3633122214297904,-0.33038903768371847,-2.009876528970092,-0.626119186150868,-1.5464294233574372,1.5464294233574367,-0.5149259164573714,-0.722560899664877,0.1485308400702119
"Ames, IA",11180.0,2.5280690755735455,-0.6077310206619517,0.4246557448284787,-0.22644279009704446,-0.2920919072957333,-0.20219837548246986,0.3812513768521518,0.20454198355440742,1.195845116548134,-1.1958451165481352,0.7333178822459278,-0.1020679033776215,-0.08623222310894
"Amsterdam, NY",11220.0,-0.08094792036375183,2.1596760158574013,0.0,-0.25401803558153385,-0.5943118463697319,-0.25002639552580724,0.4554587946190493,0.025212826481583767,1.1437560952950383,-1.1437560952950392,0.8996785855961248,1.3199267122945537,0.23121529242323555
"Andrews, TX",11380.0,-0.15692396661056213,-0.5151195071868641,0.0,-0.22585839961093115,-0.14697958564387859,-0.31013025081704476,0.6698357792789744,-0.5734379204232432,-2.2769827932065523,2.276982793206551,-1.034401092885367,-0.7576418999066913,-0.5229131893178027
"Angola, IN",11420.0,-0.49014238718392567,-0.8533755074721393,0.0,-0.24688193809272166,-0.6303387432387878,-0.262870201578535,0.4142324514152173,-0.062057149067208814,-0.4958564709869425,0.495856470986941,0.6653120296633318,0.5263808162413424,0.3057721365760001
"Ann Arbor, MI",11460.0,1.5538728451348478,-0.9742184271921638,-0.6670449404608291,-0.20278404979588588,-0.46631281335015595,0.1838266407262645,0.4801946005413482,1.9137563827173447,2.308537556388231,-2.3085375563882313,0.7792397044199153,0.6164566413573995,0.7897200744240894
"Appleton, WI",11540.0,-0.16073757798250102,0.41766282313477293,-1.4264888954446953,0.0547107395511822,-0.33537749596424615,-0.006875654840674965,0.4884398691821144,0.5264830518898922,0.40101610418736144,-0.401016104187363,1.0991278204592247,0.29556457891934523,-0.24786135253636377
"Arcadia, FL",11580.0,6.543595799896784,0.31046681934864784,0.0,0.5577874637395801,-0.5004819772332493,-0.2795504239264482,0.5461567496674792,-0.3361061576503074,0.08414356186480687,-0.08414356186480738,-1.9312905691304154,0.7521701136713775,0.8698687248334468
"Ardmore, OK",11620.0,-0.32861206094085404,-0.09696133498326219,0.0,-0.16441754396844707,-0.20235479206651516,-0.33038903768371847,-2.009876528970092,-0.626119186150868,-1.0955359940333087,1.0955359940333071,-0.6987145206059104,-0.35944444489221156,-0.7511995945028572
"Asheville, NC",11700.0,-0.2286373806042904,-0.11290009939461024,-0.12910547234725708,-0.2629254533015466,0.07444332188610857,0.41402555637124777,0.32353449636678744,0.48125166212374965,0.0396139129714634,-0.03961391297146493,-0.41973064740758115,0.7011059474315423,0.4263944896427587
"Ashland, OH",11740.0,-0.4507843265219544,0.00825534511779358,0.0,-0.2576296413808055,-0.5875370673569055,-0.25323908928072175,0.4801946005413482,0.036387640423807176,-0.162692141116341,0.16269214111633998,0.5377379849198486,0.7386963925546395,0.5557502206860298
"Ashtabula, OH",11780.0,-0.31723727759203707,-0.7717023617303297,-0.35060995921755145,-0.24658792797237894,-0.47167686356128,-0.16975783442145637,0.4719493319005817,0.13536456391207186,0.8737278969416955,-0.8737278969416966,0.6570151155730547,0.8527842899949217,0.2682289240724161
