,RegionName,NAME,CS,Latitude,Longitude
156861,13020,"Bay City, MI","[-2.540048857375455 -2.540048857375455 -2.540048857375455
 -2.540048857375455 -2.540048857375455 0.4075795394961653
 1.4865341993781147 1.8308495385919894 -0.16818475597298088
 0.6034415012683527]",43.473075,-83.94479
161037,13180,"Beaver Dam, WI","[0.27438521753915707 0.27438521753915707 0.27438521753915707
 0.27438521753915707 0.27438521753915707 0.26352125398458937
 1.6065817550922734 2.519601336561804 0.6395502647590134
 2.1942758479419835]",43.211067,-88.51649
168606,13380,"Bellingham, WA","[0.03868093352776902 0.03868093352776902 0.03868093352776902
 0.03868093352776902 0.03868093352776902 0.5516378250077413
 2.313528472075653 1.1202165033423812 0.727282754577008 0.9185109986712874]",48.681582,-122.1977
173304,13460,"Bend, OR","[0.5242498558346024 0.5242498558346024 0.5242498558346024
 0.5242498558346024 0.5242498558346024 1.073849109987207
 1.6599362242985665 0.04349730137985475 0.22421403157338182
 0.9913922888024549]",44.091256,-121.29769
175653,13780,"Binghamton, NY","[-0.05390448052436609 -0.05390448052436609 -0.05390448052436609
 -0.05390448052436609 -0.05390448052436609 0.7317106818972118
 0.8729578035057479 2.2912446130719344 0.29730284140698443
 0.8366450279182979]",42.232991,-75.53429
187920,14020,"Bloomington, IN","[-2.722771146535965 -2.722771146535965 -2.722771146535965
 -2.722771146535965 -2.722771146535965 0.5696451106966899
 2.126787829853628 1.1858563267386915 -0.913846124381756
 1.7212707915790335]",39.513388,-86.79169
198360,14500,"Boulder, CO","[-0.7036617264996842 -0.7036617264996842 -0.7036617264996842
 -0.7036617264996842 -0.7036617264996842 1.3979802523882534
 1.5932431377907004 1.9622396082638853 2.739946416856585
 2.8048711230683976]",39.93404,-105.05454
205146,14540,"Bowling Green, KY","[-0.2831512677746915 -0.2831512677746915 -0.2831512677746915
 -0.2831512677746915 -0.2831512677746915 -0.22267545961698165
 1.2864549398545169 1.1101822514606292 -0.6098277770951751
 0.8538213307139108]",37.010643,-86.46145
210627,15260,"Brunswick, GA","[0.5989438415458608 0.5989438415458608 0.5989438415458608
 0.5989438415458608 0.5989438415458608 -0.38474103081750616
 1.5799045204891273 -0.3613502203865544 -0.32395204217863743
 0.4254304958258345]",31.495071000000006,-81.381908
215847,15500,"Burlington, NC","[0.3468807449714679 0.3468807449714679 0.3468807449714679
 0.3468807449714679 0.3468807449714679 -0.6188357447738174
 1.1397301495372119 0.18185203849388432 -0.7858111170845941
 1.0324900825691616]",36.031836,-79.48564300000002
219501,16300,"Cedar Rapids, IA","[-0.0008400816662560208 -0.0008400816662560208 -0.0008400816662560208
 -0.0008400816662560208 -0.0008400816662560208 1.289936538254572
 0.21936555572866168 2.4851381779670785 1.4742400238693576
 1.544720576043968]",42.325098,-92.19383
235422,16540,"Chambersburg, PA","[0.10953040848287343 0.10953040848287343 0.10953040848287343
 0.10953040848287343 0.10953040848287343 -0.2046681739280356
 1.3264707917592364 1.5457312068516227 0.7894859969885847
 1.8058664049570057]",39.931123,-77.66139
244296,16620,"Charleston, WV","[-0.21255539003752597 -0.21255539003752597 -0.21255539003752597
 -0.21255539003752597 -0.21255539003752597 -0.006588031349616462
 1.5932431377907004 1.4593184201605893 0.22862009457753518
 0.9517774434789864]",38.254483,-81.79045
274311,16820,"Charlottesville, VA","[0.3546356468873128 0.3546356468873128 0.3546356468873128
 0.3546356468873128 0.3546356468873128 0.4435941108740599
 2.1001105952504817 2.0864846514904274 2.2074607437958176
 2.3112261733657986]",38.072402,-78.50149
287100,17020,"Chico, CA","[0.5540180846454972 0.5540180846454972 0.5540180846454972
 0.5540180846454972 0.5540180846454972 0.06544111140617023
 0.8196033342994553 0.47063584258663504 -0.6331539929995164
 1.7261570336117997]",39.15973,-121.53735
